;parameters;standard deviation;distance;eps
0;[[0.         1.57427169]];0.0;0.42572830755006197;0.0
1;[[-3.69720781e-11  1.57427169e+00]];1.8913047554218342e-11;0.42572830755225843;1e-10
2;[[-1.76603931e-09  1.57427169e+00]];1.8913047554218344e-10;0.4257283079820908;1e-09
3;[[9.18661393e-09 1.57427169e+00]];1.8913047554218345e-09;0.4257283090997611;1e-08
4;[[-8.35332196e-08  1.57427164e+00]];1.8913047554218346e-08;0.42572835683468346;1e-07
5;[[-1.49389326e-06  1.57427153e+00]];1.8913047554218346e-07;0.4257284705796332;1e-06
6;[[-2.20944017e-06  1.57426803e+00]];1.8913047554218347e-06;0.42573196977663375;9.999999999999999e-06
7;[[-2.28339719e-04  1.57371407e+00]];1.891304755421835e-05;0.42628599156534436;9.999999999999999e-05
8;[[-2.74568560e-05  1.51907738e+00]];0.00018913047554218349;0.480922624679602;0.001
9;[[0.00247607 0.34105234]];0.0018913047554218348;1.6589495074067862;0.01
10;[[-0.02600441  0.0048463 ]];0.018913047554218347;1.995323160590444;0.1
