;parameters;standard deviation;distance;eps
0;[-1.50340949e-03 -3.83959021e-07  1.96930565e+00];0.0;0.030731149097117886;0.0
1;[-1.50225136e-03 -1.19086777e-06  1.96930502e+00];1.8913047554218342e-11;0.030731720241154212;1e-10
2;[-1.50064242e-03  6.19149268e-06  1.96930992e+00];1.8913047554218344e-10;0.030726743714212884;1e-09
3;[-1.53503214e-03  1.43927332e-05  1.96929276e+00];1.8913047554218345e-09;0.030745591565055717;1e-08
4;[-1.54781215e-03  8.42569889e-05  1.96885095e+00];1.8913047554218346e-08;0.031187594601390322;1e-07
5;[-1.80882947e-03 -6.50837368e-06  1.96795627e+00];1.8913047554218346e-07;0.032094740080845265;1e-06
6;[-4.17794165e-03  1.23570148e-05  1.93814124e+00];1.8913047554218347e-06;0.061999689528128316;9.999999999999999e-06
7;[-0.03467965  0.0063178   1.65683584];1.891304755421835e-05;0.34496990153808693;9.999999999999999e-05
8;[-0.30959534 -0.00482684  0.10538719];0.00018913047554218349;1.9197474453381815;0.001
9;[-0.50538346 -0.02098156  0.00261096];0.0018913047554218348;2.060440640685551;0.01
10;[-9.28857953e-01 -7.82865537e-02 -5.76411012e-04];0.018913047554218347;2.2070822046331062;0.1
